,L1_ITO,L2_ZnO,L3_CuGeSeSnS,L4_Au,Transmission,Reflection
462.0,0.008328276153543228,0.04441466934085622,0.7917200701260015,1.40410722301482e-06,0.020709201498282565,0.13482637877409345
464.0,0.008173194390829551,0.042756691051097216,0.7756643885155738,1.6143356574502912e-06,0.0200101422476249,0.153393969459217
466.0,0.008061780727665125,0.04113274737671777,0.759456104470075,1.8706104675934496e-06,0.019305438625137922,0.17204205818993654
468.0,0.00790457069750665,0.039554296827464454,0.743436917707681,2.1952782797137397e-06,0.018597393589848632,0.19050462589921952
470.0,0.0077915941267879645,0.03802169308311336,0.7277511752381003,2.6173844113649234e-06,0.017882730782475736,0.20855018938511136
472.0,0.007682159137960255,0.036551795105739436,0.712860010975749,3.1832690947403534e-06,0.017172981299639123,0.2257298702118174
474.0,0.007576056031609792,0.03514107899089873,0.698694959140979,3.9375749717117204e-06,0.01647154520999014,0.2421124230515506
476.0,0.007440627651667957,0.03380572164680995,0.6857663501762502,4.9432905877741835e-06,0.015794749863721147,0.25718760737096297
478.0,0.007355346232300071,0.03254112599995484,0.6739510351727781,6.2264936301204205e-06,0.015149989914239104,0.27099627618709776
480.0,0.007278628579734864,0.031346356327450746,0.6630132628168857,7.809763817840556e-06,0.014541158887220018,0.2838127836248909
482.0,0.007211169617669182,0.030221318106574527,0.6529726671521958,9.765230412967125e-06,0.013969193665868462,0.2956158862272791
484.0,0.007152508959196464,0.029158722682396065,0.6436541548455299,1.2114051934608892e-05,0.013434651654361307,0.30658784780658166
486.0,0.007103405021394082,0.02815919014801062,0.6350770037507698,1.48568462666327e-05,0.012940862103486217,0.31670468213007263
488.0,0.0070629578409917545,0.027215796097596216,0.6271728592826848,1.803516166690596e-05,0.01247954381492361,0.32605080780213674
490.0,0.007030952864397589,0.026324099528366455,0.6198836329610171,2.1709272147162277e-05,0.012048405216852132,0.33469120015721954
492.0,0.0070074037077365835,0.025482629468325663,0.6132340936130269,2.594037309561541e-05,0.011645645083303346,0.3426042877545118
494.0,0.006991878576431772,0.02468663254593808,0.6071859017150152,3.081507242850613e-05,0.011267335679017776,0.34983743641116866
496.0,0.00698404716912587,0.023932290524276832,0.6017483502824733,3.651801406470368e-05,0.01090828832573898,0.3563905056843203
498.0,0.006983769414044426,0.023217043976142136,0.5969018158144653,4.314717113258718e-05,0.010568143965244636,0.36228607965897086
500.0,0.007021586827859023,0.022537752089267078,0.5926417410662724,5.0884848035293406e-05,0.01024450825487161,0.36750352691369453
502.0,0.007035599559782272,0.02196650746889882,0.5889622947699102,5.9948195879118314e-05,0.009935352067281022,0.37204029793824855
504.0,0.007056787106078504,0.021425824231018107,0.5858853248300544,7.051185865755759e-05,0.009640903871699802,0.3759206481024916
506.0,0.007114791609926641,0.020912692998629315,0.5833959681573306,8.286696342586604e-05,0.009359061597260965,0.37913461867342657
508.0,0.007149629467844396,0.020426861122377,0.5815037845953527,9.737607967727449e-05,0.009091256924607327,0.3817310918101413
510.0,0.00722051366760934,0.01996492252014343,0.5801845315503023,0.00011430790833758623,0.008834649717861964,0.3836810746357454
512.0,0.0072693494175867365,0.01952118971016308,0.5795104066972107,0.00013385910122828723,0.008591047417675801,0.38497414765613536
514.0,0.007353159799729168,0.019097670243451586,0.5793214169924447,0.00015577324304487817,0.008361218901572542,0.38571076081975725
516.0,0.007413769207438171,0.018691837497947998,0.5796509618779906,0.00018051839696040078,0.008142323816527686,0.3859205892031351
518.0,0.007509133416019365,0.01830119487523952,0.5803935766638092,0.00020862611353920278,0.007936740570850809,0.38565072836054193
520.0,0.007580898109239579,0.017926435317108927,0.5815373264740437,0.00023976923043270325,0.007743899937090015,0.3849716709320852
522.0,0.007686320210847492,0.017565295218992156,0.5830347131166866,0.0002732476797977442,0.007563043994093077,0.38387737977958286
524.0,0.00779664650769958,0.017216872273196352,0.5848781717833123,0.0003090253224698458,0.00739264613603724,0.38240663797728475
526.0,0.007883215775160622,0.016880436810608298,0.5870927057378131,0.0003469046624857022,0.00723229383146895,0.3805644431824633
528.0,0.008002904245764117,0.016554104848727783,0.5896341922388278,0.00038716729113840364,0.0070813823727772784,0.3783402490027646
530.0,0.008126822264570602,0.016236977420759094,0.5925221347680769,0.0004319990341201168,0.006940908159930037,0.37574115835254324
532.0,0.008255386422479348,0.01592821901435212,0.5957907943784304,0.00047860489865286153,0.00681059528952116,0.3727363999965641
534.0,0.00838797568111273,0.01562675553659754,0.5994385117724012,0.0005260107220122027,0.006691546750384858,0.36932919953749155
536.0,0.008523876198265347,0.01533130856197391,0.6034745675917597,0.0005729243186046826,0.006585396580865321,0.36551192674853106
538.0,0.008664020700444476,0.015041468019442568,0.6078754542009971,0.0006170002687494406,0.006495049369807826,0.36130700744055855
540.0,0.008807543592806132,0.014755707452648072,0.6126637491986578,0.000663139535807934,0.006418739287359421,0.35669112093272054
542.0,0.008953173143873058,0.014472727163562078,0.6177389110033972,0.0007101993348534045,0.0063600442776959865,0.35176494507661826
544.0,0.009102428098126041,0.014192427824678326,0.6231350528656828,0.0007536136429505086,0.006316462414970192,0.3465000151535922
546.0,0.009282956607642457,0.013912967087754935,0.6287428493763553,0.0007923219675070856,0.006286885661511643,0.3409820192992286
548.0,0.009436562216897149,0.013634764725011822,0.6345840354747673,0.0008256770284716438,0.006271128904008494,0.3352478316508436
550.0,0.009592392167486022,0.013356706404688107,0.640564761177064,0.0008531786855171614,0.006267469096391254,0.32936549246885355
552.0,0.009779767327750223,0.01307791799011412,0.646617350260048,0.000879094766436806,0.00627370086201634,0.32337216879363456
554.0,0.009938744421533738,0.01279859101580885,0.6526993215224711,0.0009038539794729322,0.006289246289609196,0.3173702427711042
556.0,0.010099042793626509,0.012516280252160337,0.6587301962148414,0.0009224361748945302,0.006313177342198106,0.3114188672222791
558.0,0.010290883010352875,0.01223061826215133,0.6646484684673857,0.0009350982250789045,0.006343590651971709,0.30555134138305956
560.0,0.010454524497945646,0.011944388617446386,0.6704999482531149,0.0009418204390594899,0.006380407212805694,0.299778910979628
562.0,0.010648770439511878,0.011652145759392149,0.6760747200643938,0.0009420526668162839,0.0064215360688914536,0.2942607750009944
